epoch;C_real;C_fake;GP;LossC;LossG;;;;;;;;;;;;;;;
208;8,6953;1,5176;0,0931;-6,2422;-1,5537;;;;;;;;;;;;;;;
209;8,2969;1,1924;0,0943;-6,1602;-1,1611;;;;;;;;;;;;;;;
210;8,6797;1,5645;0,092;-6,1992;-1,6025;;;;;;;;;;;;;;;
211;8,5312;1,4482;0,0968;-6,1211;-1,4062;;;;;;;;;;;;;;;
212;8,5234;1,4189;0,0875;-6,2344;-1,4043;;;;;;;;;;;;;;;
213;8,3594;1,3008;0,0916;-6,1406;-1,292;;;;;;;;;;;;;;;
214;8,7578;1,7861;0,0876;-6,0977;-1,7588;;;;;;;;;;;;;;;
215;8,6016;1,499;0,0929;-6,1797;-1,5488;;;;;;;;;;;;;;;
216;8,0938;1,0166;0,0876;-6,1992;-0,9824;;;;;;;;;;;;;;;
217;8,1172;1,0918;0,0888;-6,1328;-1,1162;;;;;;;;;;;;;;;
218;8,0547;1,0625;0,0927;-6,0742;-1,0439;;;;;;;;;;;;;;;
219;8,0547;1,1055;0,0878;-6,0703;-1,0732;;;;;;;;;;;;;;;
220;8,2266;1,207;0,09;-6,1133;-1,124;;;;;;;;;;;;;;;
221;8,5078;1,4443;0,1019;-6,043;-1,6055;;;;;;;;;;;;;;;
222;7,9727;1,0273;0,0876;-6,0625;-0,959;;;;;;;;;;;;;;;
223;7,543;0,5571;0,0953;-6,0234;-0,4592;;;;;;;;;;;;;;;
224;7,1914;0,1833;0,0915;-6,0977;-0,3191;;;;;;;;;;;;;;;
225;8,0391;1,0752;0,0914;-6,043;-1,0654;;;;;;;;;;;;;;;
226;8,2031;1,1807;0,0932;-6,0898;-1,1602;;;;;;;;;;;;;;;
227;8,2578;1,1309;0,0898;-6,2305;-1,125;;;;;;;;;;;;;;;
228;8,0156;0,9092;0,0893;-6,2227;-0,7915;;;;;;;;;;;;;;;
229;7,5195;0,1714;0,0924;-6,4297;-0,2272;;;;;;;;;;;;;;;
230;7,7109;0,3525;0,0935;-6,4258;-0,3032;;;;;;;;;;;;;;;
231;7,8828;0,4451;0,0919;-6,5156;-0,428;;;;;;;;;;;;;;;
232;8,5859;0,9888;0,09;-6,6836;-0,9229;;;;;;;;;;;;;;;
233;7,8281;0,2177;0,0883;-6,7227;-0,2034;;;;;;;;;;;;;;;
234;7,6602;-0,0571;0,0918;-6,793;0,1076;;;;;;;;;;;;;;;
235;7,625;-0,1626;0,0934;-6,8398;0,114;;;;;;;;;;;;;;;
236;8,2109;0,3176;0,0958;-6,9297;-0,2457;;;;;;;;;;;;;;;
237;7,3203;-0,5518;0,0956;-6,918;0,5913;;;;;;;;;;;;;;;
238;7,6328;-0,4104;0,0927;-7,1211;0,3896;;;;;;;;;;;;;;;
239;7,8203;-0,375;0,0992;-7,207;0,3713;;;;;;;;;;;;;;;
240;7,1172;-1,0898;0,096;-7,2461;1,0449;;;;;;;;;;;;;;;
241;7,3242;-0,9233;0,0974;-7,2695;0,8813;;;;;;;;;;;;;;;
242;7,1914;-1,1777;0,0885;-7,4883;1,1699;;;;;;;;;;;;;;;
243;7,4766;-0,894;0,0951;-7,418;0,9175;;;;;;;;;;;;;;;
244;8,0859;-0,457;0,0995;-7,5469;0,4712;;;;;;;;;;;;;;;
245;7,7695;-0,7358;0,0936;-7,5664;0,833;;;;;;;;;;;;;;;
246;7,3711;-1,3711;0,101;-7,7344;1,3477;;;;;;;;;;;;;;;
247;7,5742;-1,1191;0,0966;-7,7227;1,1309;;;;;;;;;;;;;;;
248;7,6016;-1,2793;0,1035;-7,8398;1,2725;;;;;;;;;;;;;;;
249;7,2383;-1,6465;0,0943;-7,9336;1,6533;;;;;;;;;;;;;;;
250;7,4492;-1,4746;0,0991;-7,9297;1,5439;;;;;;;;;;;;;;;
251;7,5547;-1,5967;0,0933;-8,2188;1,4736;;;;;;;;;;;;;;;
252;7,4141;-1,8271;0,1013;-8,2266;1,8145;;;;;;;;;;;;;;;
253;7,5078;-1,665;0,0973;-8,2109;1,6475;;;;;;;;;;;;;;;
254;7,6836;-1,6416;0,0997;-8,3125;1,582;;;;;;;;;;;;;;;
255;7,8555;-1,3916;0,1014;-8,2266;1,5303;;;;;;;;;;;;;;;
256;7,3984;-2,0508;0,1058;-8,3906;2,0879;;;;;;;;;;;;;;;
257;7,7031;-1,9111;0,1062;-8,5547;1,8682;;;;;;;;;;;;;;;
258;7,6797;-2,0059;0,1097;-8,5938;2,0801;;;;;;;;;;;;;;;
259;7,8633;-1,8545;0,1027;-8,6797;1,7686;;;;;;;;;;;;;;;
260;7,6328;-2,2051;0,1095;-8,7422;2,1738;;;;;;;;;;;;;;;
261;7,668;-2,1992;0,1145;-8,7266;2,2324;;;;;;;;;;;;;;;
262;7,1211;-2,7832;0,1098;-8,8047;2,7676;;;;;;;;;;;;;;;
263;7,3086;-2,707;0,1094;-8,9219;2,7051;;;;;;;;;;;;;;;
264;7,1914;-2,9082;0,1144;-8,9531;2,8477;;;;;;;;;;;;;;;
265;7,5977;-2,4961;0,1101;-8,9922;2,5332;;;;;;;;;;;;;;;
266;7,5273;-2,5371;0,1195;-8,8828;2,5508;;;;;;;;;;;;;;;
267;6,4648;-3,8086;0,1234;-9,0391;3,6074;;;;;;;;;;;;;;;
268;6,957;-3,2949;0,1169;-9,0859;3,334;;;;;;;;;;;;;;;
269;7,1094;-3,1699;0,1161;-9,1172;3,2363;;;;;;;;;;;;;;;
270;6,9492;-3,3477;0,1189;-9,1016;3,373;;;;;;;;;;;;;;;
271;6,8711;-3,5684;0,1271;-9,1719;3,5723;;;;;;;;;;;;;;;
272;6,582;-3,7891;0,1213;-9,1484;3,8789;;;;;;;;;;;;;;;
273;6,9336;-3,6914;0,1191;-9,4297;3,6855;;;;;;;;;;;;;;;
274;6,7578;-3,707;0,1273;-9,2031;3,7793;;;;;;;;;;;;;;;
275;6,9219;-3,8125;0,129;-9,4531;3,7754;;;;;;;;;;;;;;;
276;6,7344;-3,7578;0,1329;-9,1641;3,8711;;;;;;;;;;;;;;;
277;7,0117;-3,5391;0,1332;-9,2188;3,6367;;;;;;;;;;;;;;;
278;6,5117;-4,0469;0,1295;-9,2578;4,1016;;;;;;;;;;;;;;;
279;6,7109;-4,0039;0,1398;-9,3203;3,957;;;;;;;;;;;;;;;
280;6,3242;-4,3164;0,1339;-9,2969;4,2461;;;;;;;;;;;;;;;
281;6,25;-4,4766;0,1406;-9,3281;4,4609;;;;;;;;;;;;;;;
282;6,5469;-4,2383;0,1399;-9,3906;4,3008;;;;;;;;;;;;;;;
283;6,5078;-4,1328;0,1433;-9,2109;4,2031;;;;;;;;;;;;;;;
284;6,3008;-4,5898;0,148;-9,4062;4,6055;;;;;;;;;;;;;;;
285;6,4453;-4,2148;0,1356;-9,3203;4,2109;;;;;;;;;;;;;;;
286;6,6602;-4,1289;0,145;-9,3359;4,1914;;;;;;;;;;;;;;;
287;6,4102;-4,2461;0,1459;-9,1953;4,2773;;;;;;;;;;;;;;;
288;6,168;-4,4805;0,1407;-9,2422;4,6016;;;;;;;;;;;;;;;
